,E_program,Ecell,iw,t
14995,0.3662073563729303,0.34085849303388094,2.3285937177824275e-05,4.165277777777778
14996,0.3663184798310924,0.34038362571407693,2.361479245272333e-05,4.165555555555556
14997,0.3664296032892544,0.3402376139719169,2.3943647727858563e-05,4.1658333333333335
14998,0.3665407267474164,0.34052963745613213,2.3285937177824275e-05,4.166111111111111
14999,0.3666518502055784,0.34118734861186595,2.3285937177824275e-05,4.166388888888889
15000,0.3667629736637404,0.34104133686981075,2.361479245272333e-05,4.166666666666667
15001,0.3668740971219024,0.34118734861186595,2.3285937177824275e-05,4.166944444444445
15002,0.3669852205800645,0.34085849303388094,2.3285937177824275e-05,4.167222222222223
15003,0.3670963440382265,0.3415530362843295,2.3943647727858563e-05,4.1675
15004,0.3672074674963885,0.34104133686981075,2.361479245272333e-05,4.167777777777777
15005,0.3673185909545505,0.34169904802648954,2.361479245272333e-05,4.168055555555555
15006,0.3674297144127125,0.34184505976854473,2.3285937177824275e-05,4.168333333333333
15007,0.3675408378708745,0.3415530362843295,2.3943647727858563e-05,4.168611111111111
15008,0.3676519613290366,0.34184505976854473,2.3285937177824275e-05,4.168888888888889
15009,0.3677630847871986,0.3415530362843295,2.3943647727858563e-05,4.1691666666666665
15010,0.3678742082453606,0.34140702454206456,2.427250300323e-05,4.169444444444444
15011,0.3679853317035226,0.3415530362843295,2.3943647727858563e-05,4.169722222222222
15012,0.3680964551616846,0.3418818918630232,2.3943647727858563e-05,4.17
15013,0.3682075786198466,0.34250277092616865,2.3285937177824275e-05,4.170277777777778
15014,0.3683187020780087,0.34316048208473754,2.3285937177824275e-05,4.170555555555556
15015,0.3684298255361707,0.3422107474419534,2.3943647727858563e-05,4.170833333333333
15016,0.3685409489943327,0.34235675918411346,2.361479245272333e-05,4.171111111111111
15017,0.3686520724524947,0.34316048208473754,2.3285937177824275e-05,4.171388888888889
15018,0.3687631959106567,0.3425396030211197,2.3943647727858563e-05,4.171666666666667
15019,0.3688743193688187,0.3428684586005223,2.3943647727858563e-05,4.171944444444445
15020,0.3689854428269808,0.34348933766437645,2.3285937177824275e-05,4.172222222222223
15021,0.3690965662851428,0.3431973141801612,2.3943647727858563e-05,4.1725
15022,0.3692076897433048,0.34334332592232125,2.361479245272333e-05,4.172777777777778
15023,0.3693188132014668,0.3435261697600364,2.3943647727858563e-05,4.173055555555556
15024,0.3694299366596288,0.3428684586005223,2.3943647727858563e-05,4.173333333333333
15025,0.3695410601177908,0.34334332592232125,2.361479245272333e-05,4.173611111111111
15026,0.369652183575953,0.34400103708230795,2.361479245272333e-05,4.1738888888888885
15027,0.369763307034115,0.34367218150219647,2.361479245272333e-05,4.174166666666666
15028,0.369874430492277,0.34414704882436314,2.3285937177824275e-05,4.174444444444444
15029,0.369985553950439,0.3443298926626556,2.361479245272333e-05,4.174722222222222
15030,0.3700966774086009,0.3443298926626556,2.361479245272333e-05,4.175
15031,0.3702078008667629,0.3443298926626556,2.361479245272333e-05,4.175277777777778
15032,0.3703189243249251,0.3443298926626556,2.361479245272333e-05,4.175555555555556
15033,0.3704300477830871,0.34480475998529475,2.3285937177824275e-05,4.175833333333333
15034,0.3705411712412491,0.34480475998529475,2.3285937177824275e-05,4.176111111111111
15035,0.3706522946994111,0.34418388092049557,2.3943647727858563e-05,4.176388888888889
15036,0.3707634181575731,0.34498760382405985,2.361479245272333e-05,4.176666666666667
15037,0.3708745416157352,0.3450244359206915,2.427250300323e-05,4.176944444444445
15038,0.3709856650738972,0.34564531498640927,2.361479245272333e-05,4.177222222222222
15039,0.3710967885320592,0.34564531498640927,2.361479245272333e-05,4.1775
15040,0.3712079119902212,0.34564531498640927,2.361479245272333e-05,4.177777777777778
15041,0.3713190354483832,0.34560848288912194,2.29570819031614e-05,4.178055555555556
15042,0.3714301589065452,0.34564531498640927,2.361479245272333e-05,4.178333333333334
15043,0.3715412823647073,0.34630302614970365,2.361479245272333e-05,4.178611111111112
15044,0.3716524058228693,0.34564531498640927,2.361479245272333e-05,4.178888888888889
15045,0.3717635292810313,0.34582815882577816,2.3943647727858563e-05,4.179166666666666
15046,0.3718746527391933,0.34582815882577816,2.3943647727858563e-05,4.179444444444444
15047,0.3719857761973553,0.3461570144075436,2.3943647727858563e-05,4.179722222222222
15048,0.3720968996555173,0.34644903789175885,2.3285937177824275e-05,4.18
15049,0.3722080231136794,0.34663188173170517,2.361479245272333e-05,4.1802777777777775
15050,0.3723191465718414,0.34630302614970365,2.361479245272333e-05,4.180555555555555
15051,0.3724302700300034,0.34710674905599836,2.3285937177824275e-05,4.180833333333333
15052,0.3725413934881654,0.34696073731394317,2.361479245272333e-05,4.181111111111111
15053,0.3726525169463274,0.34710674905599836,2.3285937177824275e-05,4.181388888888889
15054,0.3727636404044894,0.34696073731394317,2.361479245272333e-05,4.181666666666667
15055,0.3728747638626515,0.34743560463847256,2.3285937177824275e-05,4.1819444444444445
15056,0.3729858873208135,0.34776446022118285,2.3285937177824275e-05,4.182222222222222
15057,0.3730970107789755,0.3474724367369676,2.3943647727858563e-05,4.1825
15058,0.3732081342371375,0.34776446022118285,2.3285937177824275e-05,4.182777777777778
15059,0.3733192576952995,0.34761844847912765,2.361479245272333e-05,4.183055555555556
15060,0.3734303811534615,0.34776446022118285,2.3285937177824275e-05,4.183333333333334
15061,0.3735415046116236,0.34776446022118285,2.3285937177824275e-05,4.183611111111111
15062,0.3736526280697856,0.3478012923199143,2.3943647727858563e-05,4.183888888888889
15063,0.3737637515279476,0.3478012923199143,2.3943647727858563e-05,4.184166666666667
15064,0.3738748749861096,0.34794730406207436,2.361479245272333e-05,4.184444444444445
15065,0.3739859984442716,0.34823932754607984,2.29570819031614e-05,4.184722222222222
15066,0.3740971219024336,0.34875102697073185,2.3285937177824275e-05,4.185
15067,0.3742082453605957,0.34827615964525743,2.361479245272333e-05,4.185277777777777
15068,0.3743193688187577,0.34875102697073185,2.3285937177824275e-05,4.185555555555555
15069,0.3744304922769197,0.34827615964525743,2.361479245272333e-05,4.185833333333333
15070,0.3745416157350817,0.34878785907017207,2.3943647727858563e-05,4.186111111111111
15071,0.3746527391932437,0.3484590034865166,2.3943647727858563e-05,4.186388888888889
15072,0.3747638626514057,0.3489338708123321,2.361479245272333e-05,4.1866666666666665
15073,0.3748749861095678,0.34878785907017207,2.3943647727858563e-05,4.186944444444444
15074,0.3749861095677298,0.3491167146540639,2.3943647727858563e-05,4.187222222222222
15075,0.3750972330258918,0.34959158198035195,2.361479245272333e-05,4.1875
15076,0.3752083564840538,0.34878785907017207,2.3943647727858563e-05,4.187777777777778
15077,0.3753194799422158,0.3494455702381919,2.3943647727858563e-05,4.188055555555556
15078,0.3754306034003778,0.3491167146540639,2.3943647727858563e-05,4.1883333333333335
15079,0.3755417268585399,0.35072416047620897,2.3285937177824275e-05,4.188611111111111
15080,0.3756528503167019,0.34973759372240715,2.3285937177824275e-05,4.188888888888889
15081,0.3757639737748639,0.3490798825543873,2.3285937177824275e-05,4.189166666666667
15082,0.3758750972330259,0.35006644930677155,2.3285937177824275e-05,4.189444444444445
15083,0.3759862206911879,0.35024929314931696,2.361479245272333e-05,4.189722222222223
15084,0.37609734414935,0.35090700431922706,2.361479245272333e-05,4.19
15085,0.376208467607512,0.3501032814071569,2.3943647727858563e-05,4.190277777777778
15086,0.376319591065674,0.35057814873415377,2.361479245272333e-05,4.190555555555555
15087,0.376430714523836,0.35039530489137216,2.3285937177824275e-05,4.190833333333333
15088,0.376541837981998,0.350760992577067,2.3943647727858563e-05,4.191111111111111
15089,0.37665296144016,0.35123585990453654,2.361479245272333e-05,4.191388888888889
15090,0.3767640848983221,0.35138187164659174,2.3285937177824275e-05,4.191666666666666
15091,0.3768752083564841,0.35123585990453654,2.361479245272333e-05,4.191944444444444
15092,0.3769863318146461,0.3514187037479221,2.3943647727858563e-05,4.192222222222222
15093,0.3770974552728081,0.35156471549008217,2.361479245272333e-05,4.1925
15094,0.3772085787309701,0.35123585990453654,2.361479245272333e-05,4.192777777777778
15095,0.3773197021891321,0.35123585990453654,2.361479245272333e-05,4.193055555555556
15096,0.3774308256472942,0.35156471549008217,2.361479245272333e-05,4.193333333333333
15097,0.3775419491054562,0.35156471549008217,2.361479245272333e-05,4.193611111111111
15098,0.3776530725636182,0.3517475593337041,2.3943647727858563e-05,4.193888888888889
15099,0.3777641960217802,0.3514187037479221,2.3943647727858563e-05,4.194166666666667
15100,0.3778753194799422,0.35203958281791936,2.3285937177824275e-05,4.194444444444445
15101,0.3779864429381042,0.35218559455986964,2.29570819031614e-05,4.194722222222223
15102,0.3780975663962663,0.35189357107586416,2.361479245272333e-05,4.195
15103,0.3782086898544283,0.35255128224813687,2.361479245272333e-05,4.195277777777778
15104,0.3783198133125903,0.35269729399019206,2.3285937177824275e-05,4.195555555555556
15105,0.3784309367707523,0.35222242666188236,2.361479245272333e-05,4.195833333333334
15106,0.3785420602289143,0.35236843840393756,2.3285937177824275e-05,4.196111111111111
15107,0.3786531836870763,0.35320899342135476,2.361479245272333e-05,4.1963888888888885
15108,0.3787643071452384,0.3530261495766828,2.3285937177824275e-05,4.196666666666666
15109,0.3788754306034004,0.35255128224813687,2.361479245272333e-05,4.196944444444444
15110,0.3789865540615624,0.35386670459551767,2.361479245272333e-05,4.197222222222222
15111,0.3790976775197244,0.35269729399019206,2.3285937177824275e-05,4.1975
15112,0.3792088009778864,0.35335500516340995,2.3285937177824275e-05,4.197777777777778
15113,0.3793199244360484,0.35386670459551767,2.361479245272333e-05,4.198055555555555
15114,0.3794310478942105,0.35401271633757286,2.3285937177824275e-05,4.198333333333333
15115,0.3795421713523725,0.35434157192500876,2.3285937177824275e-05,4.198611111111111
15116,0.3796532948105345,0.35386670459551767,2.361479245272333e-05,4.198888888888889
15117,0.3797644182686965,0.35386670459551767,2.361479245272333e-05,4.199166666666667
15118,0.3798755417268585,0.35467042751268096,2.3285937177824275e-05,4.1994444444444445
15119,0.3799866651850205,0.35386670459551767,2.361479245272333e-05,4.199722222222222
15120,0.3800977886431826,0.3540495484407935,2.3943647727858563e-05,4.2
15121,0.3802089121013446,0.3543784040284657,2.3943647727858563e-05,4.200277777777778
15122,0.3803200355595066,0.35467042751268096,2.3285937177824275e-05,4.200555555555556
15123,0.3804311590176686,0.35434157192500876,2.3285937177824275e-05,4.200833333333334
15124,0.3805422824758306,0.35499928310058937,2.3285937177824275e-05,4.201111111111112
15125,0.3806534059339928,0.35481643925463124,2.29570819031614e-05,4.201388888888889
15126,0.3807645293921547,0.3551821269466787,2.361479245272333e-05,4.201666666666667
15127,0.3808756528503167,0.35514529484253965,2.29570819031614e-05,4.201944444444444
15128,0.3809867763084787,0.3547072596163741,2.3943647727858563e-05,4.202222222222222
15129,0.3810978997666407,0.35565699427711506,2.3285937177824275e-05,4.2025
15130,0.3812090232248027,0.3553281386887339,2.3285937177824275e-05,4.2027777777777775
15131,0.3813201466829649,0.35565699427711506,2.3285937177824275e-05,4.203055555555555
15132,0.3814312701411269,0.35565699427711506,2.3285937177824275e-05,4.203333333333333
15133,0.3815423935992889,0.35583983812367714,2.361479245272333e-05,4.203611111111111
15134,0.3816535170574509,0.3553649707928998,2.3943647727858563e-05,4.203888888888889
15135,0.3817646405156129,0.3556938263815171,2.3943647727858563e-05,4.204166666666667
15136,0.3818757639737749,0.35598584986573234,2.3285937177824275e-05,4.204444444444444
15137,0.381986887431937,0.3563147054545858,2.3285937177824275e-05,4.204722222222222
15138,0.382098010890099,0.3561686937125306,2.361479245272333e-05,4.205
15139,0.382209134348261,0.3564975493016204,2.361479245272333e-05,4.205277777777778
15140,0.382320257806423,0.35682640489094647,2.361479245272333e-05,4.205555555555556
15141,0.382431381264585,0.3566803931487864,2.3943647727858563e-05,4.2058333333333335
15142,0.382542504722747,0.35635153755946036,2.3943647727858563e-05,4.206111111111111
15143,0.3826536281809091,0.3564975493016204,2.361479245272333e-05,4.206388888888889
15144,0.3827647516390711,0.35763012781236253,2.3285937177824275e-05,4.206666666666667
15145,0.3828758750972331,0.3566803931487864,2.3943647727858563e-05,4.206944444444445
15146,0.3829869985553951,0.35682640489094647,2.361479245272333e-05,4.207222222222223
15147,0.3830981220135571,0.35682640489094647,2.361479245272333e-05,4.2075
15148,0.3832092454717191,0.35748411607030733,2.361479245272333e-05,4.207777777777777
15149,0.3833203689298812,0.3571552604805088,2.361479245272333e-05,4.208055555555555
15150,0.3834314923880432,0.35744728396451425,2.29570819031614e-05,4.208333333333333
15151,0.3835426158462052,0.3571552604805088,2.361479245272333e-05,4.208611111111111
15152,0.3836537393043672,0.3579221512961583,2.262822662873473e-05,4.208888888888889
15153,0.3837648627625292,0.35781297166034226,2.361479245272333e-05,4.2091666666666665
15154,0.3838759862206912,0.358616694583176,2.3285937177824275e-05,4.209444444444444
15155,0.3839871096788533,0.3579958155084534,2.3943647727858563e-05,4.209722222222222
15156,0.3840982331370153,0.35828783899266864,2.3285937177824275e-05,4.21
15157,0.3842093565951773,0.3587627063251263,2.29570819031614e-05,4.210277777777778
15158,0.3843204800533393,0.358616694583176,2.3285937177824275e-05,4.210555555555556
15159,0.3844316035115013,0.35828783899266864,2.3285937177824275e-05,4.210833333333333
15160,0.3845427269696633,0.3589823822806846,2.3943647727858563e-05,4.211111111111111
15161,0.3846538504278254,0.35894555017391977,2.3285937177824275e-05,4.211388888888889
15162,0.3847649738859874,0.358616694583176,2.3285937177824275e-05,4.211666666666667
15163,0.3848760973441494,0.3589823822806846,2.3943647727858563e-05,4.211944444444445
15164,0.3849872208023114,0.3584706828411208,2.361479245272333e-05,4.212222222222223
15165,0.3850983442604734,0.3594204175068501,2.29570819031614e-05,4.2125
15166,0.3852094677186354,0.3597492730980663,2.29570819031614e-05,4.212777777777778
